rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.6521000226338702,9.320216064,1.5576941967010498,4.747860980375087
16,32,3686400,3.5927773833274843,8.732870656,1.5160831212997437,4.55435137131404
64,128,14745600,3.6212695042292276,10.102973952,1.476814866065979,4.378975820309134
